35kd_ag	Rv2744c
aac	Rv0262c
aao	Rv1905c
accA1	Rv2501c
accA2	Rv0973c
accA3	Rv3285
accD1	Rv2502c
accD2	Rv0974c
accD3	Rv0904c
accD4	Rv3799c
accD5	Rv3280
accD6	Rv2247
accE5	Rv3281
aceAa	Rv1915
aceAb	Rv1916
aceE	Rv2241
acg	Rv2032
ackA	Rv0409
acn	Rv1475c
acpA	Rv0033
acpM	Rv2244
acpS	Rv2523c
acrA1	Rv3391
acs	Rv3667
acyP	Rv2922A
add	Rv3313c
adhA	Rv1862
adhB	Rv0761c
adhC	Rv3045
adhD	Rv3086
adhE1	Rv0162c
adh	Rv1530
adk	Rv0733
adoK	Rv2202c
aftA	Rv3792
aftB	Rv3805c
aftC	Rv2673
aftD	Rv0236c
aglA	Rv2471
agpS	Rv3107c
ahpC	Rv2428
ahpD	Rv2429
ahpE	Rv2238c
alaS	Rv2555c
aldA	Rv0768
aldC	Rv2858c
ald	Rv2780
alkA	Rv1317c
alkB	Rv3252c
alr	Rv3423c
amiA1	Rv3305c
amiA2	Rv2363
amiB1	Rv3306c
amiB2	Rv1263
amiC	Rv2888c
amiD	Rv3375
amt	Rv2920c
ansA	Rv1538c
ansP1	Rv2127
ansP2	Rv0346c
aofH	Rv3170
apa	Rv1860
aprA	Rv2395A
aprB	Rv2395B
apt	Rv2584c
arcA	Rv1001
argA	Rv2747
argB	Rv1654
argC	Rv1652
argD	Rv1655
argF	Rv1656
argG	Rv1658
argH	Rv1659
argJ	Rv1653
argR	Rv1657
argS	Rv1292
aroA	Rv3227
aroB	Rv2538c
aroD	Rv2537c
aroE	Rv2552c
aroF	Rv2540c
aroG	Rv2178c
aroK	Rv2539c
arsA	Rv2684
arsB1	Rv2685
arsB2	Rv3578
arsC	Rv2643
asd	Rv3708c
ask	Rv3709c
asnB	Rv2201
aspB	Rv3565
aspC	Rv0337c
aspS	Rv2572c
atpA	Rv1308
atpB	Rv1304
atpC	Rv1311
atpD	Rv1310
atpE	Rv1305
atpF	Rv1306
atpG	Rv1309
atpH	Rv1307
atsA	Rv0711
atsB	Rv3299c
atsD	Rv0663
bacA	Rv1819c
bcpB	Rv1608c
bcp	Rv2521
betP	Rv0917
bfrA	Rv1876
bfrB	Rv3841
bglS	Rv0186
bioA	Rv1568
bioB	Rv1589
bioD	Rv1570
bioF1	Rv1569
bioF2	Rv0032
birA	Rv3279c
bisC	Rv1442
bkdA	Rv2497c
bkdB	Rv2496c
bkdC	Rv2495c
blaC	Rv2068c
blaI	Rv1846c
blaR	Rv1845c
bpoA	Rv3473c
bpoB	Rv1123c
bpoC	Rv0554
cadI	Rv2641
caeA	Rv2224c
canA	Rv1284
canB	Rv3588c
