Rv0001	NP_214515.1
Rv0002	NP_214516.1
Rv0003	NP_214517.1
Rv0004	NP_214518.1
Rv0005	NP_214519.2
Rv0006	NP_214520.1
Rv0007	NP_214521.1
Rv0008c	NP_214522.1
Rv0009	NP_214523.1
Rv0010c	NP_214524.1
Rv0011c	NP_214525.1
Rv0012	NP_214526.1
Rv0013	YP_177615.1
Rv0014c	NP_214528.1
Rv0015c	NP_214529.1
Rv0016c	NP_214530.1
Rv0017c	NP_214531.1
Rv0018c	NP_214532.1
Rv0019c	NP_214533.1
Rv0020c	NP_214534.1
Rv0021c	NP_214535.1
Rv0022c	NP_214536.1
Rv0023	NP_214537.1
Rv0024	NP_214538.1
Rv0025	NP_214539.1
Rv0026	NP_214540.1
Rv0027	NP_214541.1
Rv0028	NP_214542.1
Rv0029	NP_214543.1
Rv0030	NP_214544.1
Rv0032	NP_214546.1
Rv0033	NP_214547.1
Rv0034	NP_214548.1
Rv0035	YP_177686.1
Rv0036c	NP_214550.1
Rv0037c	NP_214551.1
Rv0038	NP_214552.1
Rv0039c	NP_214553.1
Rv0040c	NP_214554.2
Rv0041	NP_214555.1
Rv0042c	NP_214556.1
Rv0043c	NP_214557.1
Rv0044c	NP_214558.1
Rv0045c	NP_214559.1
Rv0046c	NP_214560.1
Rv0047c	NP_214561.1
Rv0048c	NP_214562.1
Rv0049	NP_214563.1
Rv0050	YP_177687.1
Rv0051	NP_214565.1
Rv0052	NP_214566.3
Rv0053	NP_214567.1
Rv0054	NP_214568.1
Rv0055	YP_177688.1
Rv0056	NP_214570.1
Rv0057	NP_214571.1
Rv0058	NP_214572.1
Rv0059	NP_214573.1
Rv0060	NP_214574.1
Rv0061c	YP_007408697.1
Rv0062	YP_177689.1
Rv0063	NP_214577.1
Rv0063a	YP_009030026.1
Rv0064	NP_214578.1
Rv0064A	YP_007408701.1
Rv0065	NP_214579.1
Rv0066c	NP_214580.1
Rv0067c	NP_214581.1
Rv0068	NP_214582.1
Rv0069c	NP_214583.1
Rv0070c	NP_214584.1
Rv0071	NP_214585.1
Rv0072	NP_214586.1
Rv0073	NP_214587.1
Rv0074	NP_214588.1
Rv0075	NP_214589.1
Rv0076c	NP_214590.1
Rv0077c	NP_214591.1
Rv0078	NP_214592.1
Rv0078A	YP_177616.1
Rv0078B	YP_007408717.1
Rv0079	NP_214593.1
Rv0080	NP_214594.1
Rv0081	NP_214595.1
Rv0082	NP_214596.2
Rv0083	NP_214597.1
Rv0084	NP_214598.1
Rv0085	NP_214599.1
Rv0086	NP_214600.1
Rv0087	NP_214601.1
Rv0088	NP_214602.1
Rv0089	NP_214603.1
Rv0090	NP_214604.1
Rv0091	NP_214605.1
Rv0092	NP_214606.1
Rv0093c	NP_214607.1
Rv0094c	NP_214608.1
Rv0095c	NP_214609.1
Rv0096	YP_177690.1
Rv0097	NP_214611.1
Rv0098	NP_214612.1
Rv0099	NP_214613.1
Rv0100	NP_214614.1
Rv0101	NP_214615.1
Rv0102	NP_214616.1
Rv0103c	NP_214617.1
Rv0104	NP_214618.1
Rv0105c	YP_177691.1
Rv0106	NP_214620.1
Rv0107c	NP_214621.1
Rv0108c	NP_214622.1
Rv0109	YP_177692.1
Rv0110	NP_214624.1
Rv0111	NP_214625.1
Rv0112	NP_214626.1
Rv0113	NP_214627.1
Rv0114	NP_214628.1
Rv0115	NP_214629.1
Rv0115a	YP_009030027.1
Rv0116c	NP_214630.1
Rv0117	NP_214631.1
Rv0118c	NP_214632.1
Rv0119	NP_214633.1
Rv0120c	NP_214634.1
Rv0121c	NP_214635.1
Rv0122	NP_214636.1
Rv0123	NP_214637.1
Rv0124	YP_177693.1
Rv0125	NP_214639.1
Rv0126	NP_214640.1
Rv0127	NP_214641.1
Rv0128	NP_214642.1
Rv0129c	YP_177694.1
Rv0130	NP_214644.1
Rv0131c	NP_214645.1
Rv0132c	NP_214646.1
Rv0133	NP_214647.1
Rv0134	NP_214648.1
Rv0135c	NP_214649.1
Rv0136	NP_214650.1
Rv0137c	NP_214651.1
Rv0138	NP_214652.1
Rv0139	NP_214653.1
Rv0140	NP_214654.1
Rv0141c	NP_214655.1
Rv0142	NP_214656.1
Rv0143c	NP_214657.1
Rv0144	NP_214658.1
Rv0145	NP_214659.1
Rv0146	NP_214660.1
Rv0147	NP_214661.1
Rv0148	NP_214662.1
Rv0149	NP_214663.1
Rv0150c	NP_214664.1
Rv0151c	YP_177695.1
Rv0152c	YP_177696.1
Rv0153c	NP_214667.1
Rv0154c	NP_214668.1
Rv0155	NP_214669.1
Rv0156	NP_214670.1
Rv0157	NP_214671.1
Rv0157A	YP_007408797.1
Rv0158	NP_214672.1
Rv0159c	YP_177697.1
Rv0160c	YP_177698.1
Rv0161	NP_214675.1
Rv0162c	YP_177699.1
Rv0163	NP_214677.1
Rv0164	YP_177617.1
Rv0165c	YP_177700.2
Rv0166	NP_214680.1
Rv0167	NP_214681.1
Rv0168	NP_214682.1
Rv0169	YP_177701.1
Rv0170	NP_214684.1
Rv0171	NP_214685.1
Rv0172	NP_214686.1
Rv0173	NP_214687.1
Rv0174	NP_214688.1
Rv0175	NP_214689.3
Rv0176	NP_214690.1
Rv0177	NP_214691.1
Rv0178	NP_214692.1
Rv0179c	NP_214693.1
Rv0180c	NP_214694.1
Rv0181c	NP_214695.1
Rv0182c	NP_214696.1
Rv0183	NP_214697.2
Rv0184	NP_214698.1
Rv0185	NP_214699.1
